line_id,reference,hypothesis
m01-090-04,"breakfast . It was a beautiful day , as firsts-of-June","Ata A fa ft “4S & Tenn th Jak ily , ac faccle-Yf- J"
m01-090-05,should be . Steve got out the car and traversed the,jdonld te. pee gil oul flu Cl Cth Linccwaced Pre
m01-090-06,"same empty streets as he had the night before ,","J Avwite luyphy lec fy la Ae Liat flee tif be toe,"
m01-090-07,to keep an appointment with Heather .,fo heepe CW. Cyyporu lied ter lle bee P lo
m01-095-00,Coming around the great mass of the Chateau,Commung mrourcl the pect wan of the Chatecr
m01-095-01,"Laurier , he braked to a screeching stop . A",AQUULN ee Qraket to A prreechiuc olop A
m01-095-02,flying saucer was tilting and dipping over,aye Saucer war ame ancl obanpurc Over
m01-095-03,the War Memorial . There was a deep,"the Wo. Mewoual, Jhne wag a lea"
m01-095-05,overtone that sang in his ears with an,pvertoo that dag war Lin car urkk au
m01-095-06,almost painful sharpness . He reversed and,lua ost pasar [uk olan nen . Ke rwwoersed aud
m01-095-07,turned back on McKenzie Avenue .,"truud Lack ou Me Ueugs (oer ,"
m01-104-00,""" The Thetans , "" he said , "" are presumably here to","! Fo Yotows,"" Ao said , “aro precumable how Te"
m01-104-01,"take charge , as it were , of the minds of the","take Chango, a0 st were of Hho minal of Yee"
m01-104-02,people - who are probably falling all over them-,people ~ jb ave proeabty jabline all over You
m01-104-03,selves in their zeal to get their orders and to carry,poluea ju Hak peal o get thar odin and © Cans
m01-104-04,"them out . Just what these orders will be , we don't","Worn out. Juot what Yao? rater punil be, ve lant"
m01-104-05,"know . Now , because of prior hypnosis we have es-","know. Now, because of pris Auyprocts Me Gave ba"
m01-104-06,caped Thetan subjugation . This time . But we no,caped Yolau aubjiug ah ou. BS tue. bul We Mo
m01-104-07,longer have any immunity .,Monger have uy jonrnvaty
m01-121-00,There is just a hope that we may uncover,thane a jut a Lope Haak Le way Mncove)
m01-121-01,"some weakness , and find a way of fighting","pome wreakned, aud find a uoy of Agihre"
m01-121-02,"back at them . "" Heather agreed , and suggested","back ot Hun."" feaYlor apueed, anol auggcosen!"
m01-121-03,that they use Dan as a specimen demonstra-,Zot thay we Dar ao a. {pecan densucha -
m01-121-04,ting how the Thetan machinations had been,fing how Ho Uotanr matiwohous Lod bean
m01-121-05,working out . It occurred to Steve that this may,poonking oul. “occurred Jo Sieve that ils sma
m01-121-06,not have been entirely an objective suggestion,prot fave oot eu eoly Qu ablechve auageahon
m01-121-07,on her part ; but he thought it a good idea,au tor post; bul 40 Hsueght Lt @ gooo! olen
m01-110-00,There can be little doubt that if the,The me Co— be LK. oloukd Aaa if He
m01-110-01,Thetans discover our mental independence,rehire OL sco Om Ot ae # ) 1 ole pp rz ole—ce
m01-110-02,they will promptly give us their hypnotic,Prey C1 frrobe bla to Ze 5 Aes fay prehe
m01-110-03,treatment . If we can avoid undue,"preatlere_/, VA wre C4 mises ak bitin, wiles"
m01-110-04,"prominence , it may be that we can","P Omen me, se iiedingl 4 ihe Lhal hr CO~n"
m01-110-05,move about pretty freely without,oe a alow / po? jane bi pitte~ <
m01-110-06,"detection . If we can - well , then we",ph hchr . bux Cn. och LL Le
m01-110-08,interests . What those interests,sacsilcicce he . kt Poose npr k
m01-110-09,"are , beyond personal security ,",
m01-110-10,"I haven't a clue ; but , who knows ,",ee ohne ; be. wWGeo ben oes
m01-131-00,"When he finally beckoned to them to enter , the action",When he prolly keckoned to un 10 Cn the achon
m01-131-01,gave the impression of having been thought out and,gave Hae. rnp r655¢ An of haunng bean Mrought out and
m01-131-05,their heads like tennis spectators as he walked up and,Hur heads Uke fens spectators as he walked up ond
m01-115-00,""" Now , to summarize what I think our",' Now 4) summanre what T Huuk ove
m01-115-01,"course of action should be . First , to avoid the",course of achow shovid be- Fist ty avord the
m01-115-02,"Thetans like the plague , for they must not","Thetaue Sho the plague, fax Hey uwot uot"
m01-115-03,"find us out ! Second , to tread pretty warily","Aud us out! Second, m tad pre ty uan [,"
m01-115-04,"among our own people , finding out just how","AM4 98 Cf OW peopl, Aludiug out jest (eo"
m01-115-05,much freedom we can take with safety .,Luss freeclous we car tahe MHLE sefeky
m01-115-06,"And third , to study these damned Thetans .",Ancl Hurd ty Yucy those dood Tho tine
m01-115-07,We must learn all we can about,We vrwovt lean. all we coum alent
m01-125-00,So they proceeded to see if the coast,So Hoy preceeded to Ceo rt the coact
m01-125-01,was clear . The street was quiet and,Was Choos . Ths crest ag quiel a—a
m01-125-03,nor sound of flying saucers . So they,uow ser of El tug tances So Hay
m01-125-04,ventured forth and made their way on,"ver Lure d Por WL, Cio trode Helv 400 y Ou"
m01-125-05,foot to Dan's house . Dan came,"foot to Dawr's Bere | D acs C CLUAR,"
m01-125-06,to the door at their ring but neglected,Lo ths choo+ al tloir reg hut Lrepfec bed
m01-125-07,to offer any greeting . He was deeply,Lo offes Oly pcol. 3. tle onc alaophy
m01-125-08,"preoccupied , and it seemed that the",Due OCCLYP tod oa ak Cog od thot i
m01-125-09,ringing of a doorbell was to him,Mag 9 o| a cloomball AYO § te Le as
m01-125-10,a new and strange phenomenon .,H usw aha Shrew ple. d NAQLON -
m01-136-00,His whole attitude was a mixture of,His whole ath cole wus a mixilore of
m01-136-01,impatience pending an awaited,Wm path Cnce asl an awallect
m01-136-02,communication and of a vague,Cammon cabhou avok o4 en Nagee
m01-136-03,perplexity respecting his surroundings,FE gle hy nae peeking Wis Sortouel agg
m01-136-04,and the purpose he was to serve .,awd We pe spose. he was tO serve |
m01-136-06,Heather and Steve tried to make themselves,Heather ouch Sleve Week fo make themselves
m01-136-07,at home . Steve switched on Dan's,ar Wome . Sieve <0 Wchec} Ou Tou 's
m01-136-08,"powerful , world-wide radio and systematically",Dowwes ~ ) worldl-wicke roclio avol sys tewabrally
m01-136-09,turned the tuning knob through all the,foxmecd Le Kaning uch Haroug all +e
m01-149-00,"They followed him to a city bus stop on Carling Avenue , where",thay followed liu to a oly lous soe Ou Cas Lia Aveud oloe
m01-149-01,he waited . The bus stop was a deserted island on an empty street .,Uk Warked.. Thy Luvs stop was a daswled dard ova Suaghy akreck .
m01-149-02,"But not for long , for soon pedestrians and cars flocked upon",But ul for {ou for 2o0upedac aus ava cas Flocued Upou
m01-149-03,the Avenue from its many tributary streets . It might have,"the Aweuur rou “ke nee fa taaaig ghrects, It wight aire"
m01-149-04,"been a normal business-day bustle , except for two anomalies .","X20. A uorual Qs urruses - dau Quelle, except for lwo Aouralees ."
m01-149-06,"walked , or drove , or waited as a person possessed of","walled, or Govt , or warkd ara pesou possessed of"
m01-149-07,a single all-exclusive purpose .,a muda all- exclusive pwpot.
m01-160-00,After a long wait a bus appeared and they,(flee a Lorg meth a bus eppeatd cri Moy
m01-160-01,"followed the beaming Dan aboard , taking",folloned Ma Leung Dan bore . Ankirg
m01-160-02,seats some rows behind him . Steve was,teak tome song Leberdl bitin. thee mae
m01-160-03,"beginning to find the stereotyped , flattish , happy","Leyirning Ae ford Ae shertckyped, flesh, peppy"
m01-160-04,faces very disconcerting ; and looking at,
m01-160-05,Heather he found a welcome relief in her,Weather Je awl we ae lem achid MO fir
m01-160-06,relatively long doleful one,
m02-048-00,Then he would go back to Plato for a final spell of,(hen be weuld go back fo Male for a fuel gl of
m02-048-01,real days and would return to New York in late,Jee! days aud woulel sal coxa to New Keuk yn Ze
m02-048-03,little sorry if we were not back for Christmas,Mitte souy if we were tot beck for Chui was
m02-048-04,"as arranged , but he consoled himself by",A$ aneang ed / bat he Cousexted bite sof hy
m02-048-05,thinking that he and Angelina would have,Po tu hve Heh Ju | Arg chive would Juve
m02-048-06,plenty of time together in the future . And,flenfy of Jie fogether ju the fubwe » Keel
m02-048-07,"Heaven alone knew when , if ever , he would be","eaves aloue | wehen, fever, he wena beg"
m02-048-08,"back on Moon again , and able to do","Dock eu PHeou ag 4/4, aud we xe ab"
m02-048-09,research at first hand into matters on which,fesecwcls ae ped Basse wt Ms (ss tea alhenes Cur libcls
m02-048-10,"the future of everyone , including Angelina , depended ...","toe Jutene of ver fore, ju cluddieg Aegctica y Kpeude ."
m02-052-02,"expenses , with the people to whom Moke had","repens , uth the people to whom Mche bod"
m02-052-03,sent him : little people who regarded him as,"0 han, - the poopte whe rogardiecl him as"
m02-052-04,lucky to have descended from such economic altitudes .,lucky lo have descended From SoA economic altludes .
m02-052-05,Tom Dreyfus had a job on the machines in the Secretariat,lom Oley Fus had a Job on Che mochin es yn the Scerelapial
m02-052-06,( Stamp Department ) while Sally sulked at home .,{ Slam Re partment} while Sall y sulk al Aome
m02-055-00,"They had been married for six years , but the",They hed ban wastiel Gr six Yess) Dot \he
m02-055-01,"salary raise , on the expectation of which they","Salary wase,on tre axpactalion & hich they"
m02-055-02,"had done so , had not materialised . "" Do you","hod done 20, bad vot moleicdsel. “Do you"
m02-055-03,"know , I had to send back our bedroom",nero | \ hed So Send back ar bekraom
m02-055-04,"furniture in the second year , "" she moaned . She","orm tur@ in the second year, § she maored. She"
m02-055-05,"had contacts in political circles , a school-","hod conleaks in radibical areees, | Schoo? ~"
m02-055-06,"friend of hers having married Lester Peron ,","kien of has howing memed Lesher Peran,"
m02-055-07,a Mocrat Senator with a seat on the,QO Vaca Seroler cil a aack on lhe
m02-059-01,"never her husband , a fact he accepted as inevitable . "" I guess","Ne ver her busband, a heed he excepted dt nevitgll. ‘2 quis"
m02-059-02,"Sally made a mistake about me , "" he said one","Sly made a mista aled me, he said Ohe"
m02-059-03,"evening , when he had been left to cook his own meal .","evening , when he had been bh to ceok hes Oun inal)"
m02-059-05,"was a Static Mib , the middle-income-bracket equivalent",Was a Stotic hh Lhe = | ) <incame - bracked cquivalerd
m02-066-00,"All Aristotle was excited at the time , not by the prospect of the","Ue. hhestele cas cel A te bre, vol by be proyoed of fet"
m02-066-01,"U.S. President's visit , but by a great storm in the photo-","US$. Vexcerd 3 veal, ted by 0 spook stom cx te. hob"
m02-066-02,sphere of the sun . A matter which on Earth would hardly,phore of he sere. £ miler tohach. on Fatty aod bad
m02-066-03,penetrate beyond the minds of astronomers was of general,yexchank beyond fe mond of cahenonort 10 of geruvel
m02-069-00,One wondered if this greater awareness of the physical cosmos might,"Me hovltred, ff Cai ffeahe’ aunsen es of the fyyuied Cannas 1p"
m02-069-01,"with time instil the reverence which , on Earth , nature inspires ,","Me Ve tb? Vi pepltill jWhik, on Lh . poly Wij,"
m02-069-02,especially when one reflected that the rockets over which Mr. Peron's,Afecoly whl Oe fle he Vii bee pte OLE hike Me fron 4
m02-069-03,Board presided had it in their power permanently to warp the,feat/ (prev hall yo fir fowler pode tb UT be
m02-069-04,"solar system . True enough , such ultimate weapons had not been","May pln fue Ceiph, futh | loon fe WO p/ Ven tol bell"
m02-069-07,allies being more inferior than formerly to W.C.U. in the,ahe/ biog We nferior Ve fre Me ii LU. 1» be
m02-072-00,Lester was not home yet from his formidable,é esr 0S yor Frome yer fro Jus porriabelhe
m02-072-01,"duties and his wife , in the manner of middle-brow","AES al fis wf, dn Phe pramer of wide brew"
m02-072-03,"country lawyer , and we were very small 4microdebs , weren't we ,","couby lawyer, ard we wete very sro) ¢ py dedlebc wien Pee,"
m02-072-04,"Sally "" - here she had dropped her voice in homage to the","Sal ""ere she hod! dopa het tince ip honrege fo the"
m02-072-05,"economic system : that was reverenced - "" when he thought",econopnic Sse 2 hort wes pocrerted ~ when he /hagh
m02-072-06,we might get GO a bit better if he entered politics .,We ght ger 670 0 bi bother If Pe erierer/ poll6s.
m02-075-00,Know how he did it ? He 's clever on,tno) tow he dd tt? hes cheer on
m02-075-01,the mouth-organ . So when he visited some,be moa. ~ —— Ses pen Ac t's) led SIG
m02-075-02,craterlet on Face ( ours is an agricultural,e poker lel on POCE é Crs 15 aN agriecliewa /
m02-075-04,as soon as he had spoken a few,QS Soon os be bac SOCKEA o fee
m02-075-05,sentences of his speech : ' Cut the,Sanbene. cs of uS JOCC 4 7 ‘Gm fhe
m02-075-06,"politics , Lester , give us something on","ONL CS, L CN ac, / tee LE SM otiog O-7"
m02-106-00,But since starting salaries would depend on grade A,Bat simce stohis elaas weulol gfopeol on geacte f
m02-106-01,"or B in the finals next May , and since mating","Or B fen the finale next May, au ot Srnce ran a Hing"
m02-106-02,"prospects would depend upon salaries , scholarship for","prospeots wowlof fener Oj Por Lalariee , scl olan sh, 4 fa,"
m02-106-03,these fine young people was closely geared to,khese fie yon og people was olerely Geareof Lo
m02-106-05,"were really means . So , seeing them revolve in","Lwere as mearcs. 2, oe enn em veeale Gs a"
m02-106-07,"Moke consciously or unconsciously symbolised , any-","ole Conserorsh Ob encons Cr ble, OYyonbeli se cf, —_-"
m02-106-08,way in Harry's mind ) had these splendid young,may - Marey > wind) hact theo pplencled youws
m02-106-09,"people by the short hairs , and was diverting them ...",
m02-080-02,we came through to 4makrodeb status and,Ne Came Wough to Umattrodel status avo
m02-080-03,"got all these lovely things "" - she waved a",g0t all these fovely things’ -she paved a
m02-080-04,"plump hand towards her grand pianos , etc :","Plump havel tohards her growl Pianos , E1C:"
m02-080-05,"at the same time a door banged - "" but don't","ot the SAM me a cleor loan geal -"" laut don't"
m02-080-06,"say a word about it , Lester wants his","Say a Nord aloout it, Lester wants his"
m02-080-07,mouth-organ to be forgotten now . The time,mouth-organ +o loe forgo te now. Yhe bime_
m02-080-08,has come for him to be taken seriously,Mas Cowe for him to he dalen senous ly
m02-083-00,"Peron entered , a large man , who had once been",Tr on antere”% a) forge ar} keo JAP QN ce 420-9
m02-083-01,"handsome but was now seedy-looking , a sufferer",LATA. PAR her UPS SIKwH SQ22MH - (eating | a suffyver
m02-083-02,from stomach-ulcers . In the Back-Face tradition he,From Store ch - ulcers. Jo Ka fond ~-OCRQ fea D0 Kin 72
m02-083-03,"wore , and kept on indoors , a fifty gallon hat . Harry was","Ore, ansZ ket on (x22 rs, Q hokky gallon hat: erry Ai aes"
m02-083-04,"prepared for something unpleasant , for this was","POP Ar LA ber soma thera mphkasent, for Ms nes"
m02-083-05,the Senator who had annoyed the United States,"tha Senator she hot eonay a Keo, Cin, te Stetes"
m02-083-06,by bragging how he had once won a trick from,by bre qgica Jove P Ae4L ona féKT~ on 4 An ccd Krom
m02-083-07,W.C.U. by threatening to loose off one of his,UA CY. by PA reat @nm 4s (soase. off one of AeS
m02-083-08,rockets ( an admission which would scarcely help,pockglts lar ALr- 65/05 tebir ch Gatien ws Lol Sceccely Faz.
m02-083-09,"bluff to succeed the next time ) and , lately , by","Uk fs socc22xH Yq mexk titra Jar, lately by"
m02-087-00,But privately he turned out to be as friendly as,bot jotivately fre frad of fo Le a Hriar|ly ac
m02-087-01,"Mr. Wise the tube manufacturer , to have the same adolescent","I~ flee rhe 7be ROW OCI AA, Jo fiate Fle Cxre Oe lescent,"
m02-087-02,"openness and freshness , though perhaps not the same","Qpert ass arr Frex2772K, Moogh jotta: riot te corm"
m02-087-03,maturity . One remembered that he was a lawyer,NAM. Ore remembered Heat fe wor a foyer
m02-087-04,"by training , and suspected that the points he made","by Tra 01709 , AA Cospecteol tat She forts (20 trade"
m02-087-05,so sharply in international politics were as abstract,£0 AAA Y 17) (Plerriat/ op) PPAMHCE cere ap Asttact
m02-087-06,to him as those a lawyer makes in a court,fo S77 ac sae Q@ Sawyer loIakee (72 @ CONS
m02-090-00,"The motive would be the same in both cases , to",ee me Cal be Re Stak iM er ae Cases to
m02-090-01,"serve this home of his , in which his heart lay .","SRL Wars S pce: of Las jiu lad, lus load lg,"
m02-090-02,Here the rocket man's charm was disarming . Yet,ere Ws rocked i oman! 2 Chane Lod Disarming. Yo
m02-090-03,"when the time came to leave , Harry felt as de-",
m02-090-04,"pressed as when he left Mrs. Halliday's office ,",preceed) os oe be ) Ore. tallidas « hee
m02-090-05,exactly a month ago . If even Mo statesmen only,"exactly mo mle aso | worn No clolesnoc, mil."
m02-090-06,did what they had to do to get GO on an expan-,"id wad Yury hod to dole wl Eo on On, Oxpan -"
m02-090-07,"ding scale , and left the sum-total of their actions ,","dong seghe ,omd leh Wo cun- total of oy adhons,"
m02-090-08,"and their lunar and earthly repercussions , to luck",
m02-095-00,The political life of Aristotle looked more and more,
m02-095-01,like a masquerade of business interests in dis-,Une  wroo~erode a Garmmanw vahoreva wr dn
m02-095-02,"guise which , far from attracting the allegiance",
m02-095-03,"of free men everywhere , could only repel them .","XK YER ON CoEMyRnaee COUDA Oy, eeQe2 Roam -"
m02-095-04,Then what of the cultural life ? Did this per-,Pawn a®rok o& Me oVeamd Wet TA Rr eor-
m02-095-05,haps nurture a genuinely civilizing impulse,hogs wore a apace Quy cri2in sna ompude
m02-095-06,which might in time become social fact,
m02-095-07,and counteract the obsession with economics,
m02-095-08,which had grown up during the Moon's,"AREA Srod ogo KO damn, Ro How A"
m02-102-00,At the centre of each circle stood personnel,At tle cee bps ol cack circln choot pasouued
m02-102-02,and their filing clerks . The students had,acrck flair PL» cask. [Cr shetth Lee
m02-102-04,were now being bought forward in their,"CS 4 Gn 17, 2) buy bec ld ferevel 1K ker)"
m02-102-05,turn . By comparing personal appearances,Lor . es npn p petoce Gi pperihercey
m02-102-06,"with university records , the agents of the","cont eam is eos, Ex wpe ke of Me"
m02-102-08,"and women who interested them , and contracts",diA woud tho 1 Vukd Hibe> aA Co leefy
m02-102-09,would be initialled at the end of,"world he sei , L'a Ueel a t HL ee, cf of"
m02-109-01,"to be diverted , however , with the single exception of one","~~ he. A esha doweres, w AE aa exegotoun om"
m02-109-03,step . He looked as if nothing Moke and his,fe 4 boleelas Ark gg “de anol Ms
m02-109-06,neurosis and not in some eruption from those,PPC POSS anet wet via SO ore @_ eryetion fom Sho 5
m02-112-00,"So once again the metaphysics were depressing ,",V0 once agar rhe petlaph ysis wee AGH EIS
m02-112-01,and in absolute contrast to the physical display .,ond 1 absole te Contrast fe the physica/ osplag
m02-112-02,"Mos have an un-American love of parades , and","[fos Fave an ur- Amerncan love Of (2WALCS,, AIA"
m02-112-03,"these young ones , on parade for jobs which they","these yotwrg ones, Or) Peracte for jobs which Hey"
m02-112-05,putting their best foot forward .,puttivg -herr €est foot fOr wearer.
m03-006-02,edge ... did you notice ? And the mules,cge ... bal you notice * And the nines
m03-006-03,didn't seem to want to get off the raft . ',"ithi. ’€ Sti TO Want to get of He reff"""
m03-006-04,He peered as it were into the dark secrets,He peer 2s (é were (6 Hee Azre secrets
m03-006-07,"night , exceptionally brilliant and strange ,","night , excyeron lly btthinaut 2 SWAange ,"
m03-006-08,"for in the proximity of the mountains ,",far We the poroxinity of the monnteusS
m03-006-09,"whose presence I could almost smell ,","hase prestirce | could alinost smell,"
m03-013-01,on the cosmic handiwork . ' All those stars . But I 'm,On the corxc Aaadork. Al Lhose sds. Ryd 1%
m03-013-02,"a bit earthbound tonight , Trout . I 've got a queer","Q It Card ybourdl hous, Trou¢d, [ve gof 4 Yotes"
m03-013-03,"feeling , like I always get when something","Pee ling / (le ( Ql ways get whe, Some Muivy"
m03-013-05,"if you ask me . Might be jaguar , might be ...",if YOU ask ne. Aight Se SIUM avd be...
m03-020-00,"Hope I die kind of composed , Trout . I mean you can't",Hope | cho Eivd oF wend | trou. | mean fou COM |
m03-020-01,"imagine the Christian martyrs twisting and shrieking ,",waging tho Clurighau watts tun shug and slrizeing
m03-020-03,"lion munching , or arrows where it hurts most . Or","Cron mmuching or arouss Ware 1b luucts wast, Or"
m03-020-04,can you . Look over there . ' He pointed to the,"COU Yu, lode cuer Huse.” te eointel to the"
m03-020-05,shadows beyond the river . ' Something moved . ',« doolouss 122 sand tig river.’ Sowelliivg woudl.”
m03-033-01,may have thought I had become unbalanced,i Lave Hoult ‘LL Lod oe CO re Luleleceecl
m03-033-02,through fear . ' A character Mr Gilberto mentioned,"Herm agh. fec« . ""A eleactes ies {-lloecte Uete<xo"
m03-033-04,the forest Indians are said to be mortally,t (rey fosast 1] Eales Ave Zo ta be wiodaly
m03-033-05,"afraid , with a hoof shaped like the heel",afsarck ern a Q fies 2 Lapeck Qilee. ore oo
m03-033-06,of a bottle . If your lordship will excuse me,
m03-062-00,"Small , repulsive creatures they were ,","Seer ell, repre (eve Crea buses (Oey rere,"
m03-062-02,resemblance to the shrunk heads we had,Megwhblawce loft. ghynrck ICLeack we Lael
m03-062-03,gazed at recently ; and I have no,Gozect at rece thy; aud) bese ce
m03-062-04,hesitation in saying that they would have,lyas faho bes aay Hoot Hoes tua lot Lace
m03-062-05,made an end of us but for an intervention,Lic ale Ger .e.9f of ue uF f— Mien 1 a
m03-062-06,"so unexpected , so unusual , that only the","So ucexpested, So uwuseal, {Cat ou Ke Man"
m03-062-07,necessity of rounding my narrative,
m03-062-08,compels me to mention it .,Cor pels “wre i eee po é ¥ .
m03-095-00,I had a distinct impression that the,: hada Ushuct inp resSion that the
m03-095-01,hut had recently been cleaned and,"Mut hack recently heer, Leanech erick"
m03-095-02,prepared for visitors . Mrs Caine said,prep erect for bys . WS CorAne Suol
m03-095-03,we were to go no further unless and,
m03-095-04,"until we were sent for , confirming","rt fy | Wwe Were feat fry con froin,"
m03-095-05,another impression that became more,aro thos Inne sSiem that be Cann Warne
m03-095-06,"and more definite , namely , that","Onck More Acfinite, Gta. bef / That"
m03-095-07,she was in touch with an invi-,"oe SAL, A touch with an nw -—"
m03-095-08,sible source of authority .,
m03-110-00,"Sally and of course Mrs Septimus , for surely","Sally onl o| COW SE (Ws Zphimus, for suey"
m03-110-01,Mr Septimus stood in the same case as,\r Xo Kmws load rn Ko SGWQ. Case GY
m03-110-02,myself ? But was it so ? I allowed myself,my sell? Gab wor dso 71 aNowed onl
m03-110-03,"to entertain for an instant the idea , the",fo ankerdaun lor on instant fa idea Ko
m03-110-06,would be inopportune ; and with the idea came,od — be inopportune / arch lh. Re idea Come
m03-110-08,"to watch Mr Septimus more closely , Mrs",bb etd (lv xphmus were. ctoxl es
m03-110-09,Caine too and Mr Gilberto who would ...,Coin ko ao Ov Belber wha Boulol
m03-114-00,But all three were to the casual,But alll Kerec orre $0 ie casual
m03-114-01,observation I permitted myself unruffled ;,observatan T pemibled ory self unuffled ;
m03-114-02,Mr Septimus reserved and certainly very,ly Septimus resented arch costauinldy very
m03-114-03,"thoughtful , but that was his habit . Indeed",Koodo but Kot vs lus habit. Indead
m03-114-04,we were all invaded by a most tranquil,we were dl inwoded by a mot Keangus(
m03-114-05,"mood . Even the Indian servants relaxed , knowing ,","Mood. Even te lrdion wants relaxeol brewing ,"
m03-114-06,"so Mr Gilberto told us , that the wild and",33 Ks Gy Clerte tha US Kal ho un@d ave
m03-114-07,savage tribes never approached this region : at,SONGS dnbes NQNEYS cpproad.el RY Kea: ad
m03-114-08,"any rate they remained with us , perhaps",vy (ade Low tmanad wore as polars
m03-114-09,"for such protection as our presence , or Mrs",for sacl. ordeation @ ow PRKS8erce .ar flrs
m03-118-00,But after what Mrs Caine had said it was never,
m03-118-01,far from our minds that at any moment we were,
m03-118-02,to receive a summons . I could see that Mr Septimus,"Wo recedes, A ausermons. A canl see Wriokt Pir Sephtrry"
m03-118-03,"was impatient for it . This afternoon , then , we climbed","WOS> Onn Pothank Ror it. Tors, allesroar ran, woe cP De of"
m03-118-04,"a promontory , a mass of clean rock crowned with",A Brome ory a mor ah cQeann toc che s-eol wet +7”.
m03-118-05,"trees and bushes , that stood well out over the lake .",Wees Onl Bundoora Wot rho wel art ouse> tP.o QoQ 1 _
m04-000-00,NO ONE has ever satisfactorily explained how a,HYWO OWE has tv'y sats fackovily explana hew a
m04-000-03,"too carefree , and becoming airborne ?","Fy o cove fuer, crn! bicom™g aly hove c"
m04-000-04,Caught by a sudden gust of wind ? A,Carcht by a Su addin gusd of wimet 4 1p
m04-000-05,combination of the two ? No one seems,COW bing ton ae the Hy s Z Ny One Sttms
m04-000-06,to know . But the fact remains that get,"hy lon ow, RA 71, bce ViWalns H.é oi"
m04-000-07,itself into orbit it did .,fs lf fu do ov bid it dl /o/
m04-007-00,"And a fine old fuss there was about it , too .","A, J C fine o fl fuss Kh yc lLas or bout it /0 0,"
m04-007-02,"the bus , the 2.20 from Dinas to Llangrwl ,","HH, bus, Mh. 220 brow Dias ho lang rw,"
m04-007-04,"Aboard , apart from the crew , were Mrs. Megan",Ah go rel op o.t fron th Chew . lwive WVrg Shao
m04-007-05,Thomas and her five-year-old son Cadwallader ;,Themes a o/ Liv five~ yew _ohd San Cad ub odre ;
m04-007-06,pretty little Morfydd Owen ; Mr. Stanley Hayball,"pvilty iH he Vie fy lel Onin M4, Stoney Ney bal"
m04-007-08,Birmingham ; Price the Provisions ; and the,"Biv anring bam 7 / a fh, Provisions, gna Flap"
m04-012-00,"Yes , the bus set out from Dinas . So much","Tes. td, Los sof out fv ew Dies. So a"
m04-012-01,"is established . Ifor Huw Evans , Propr. ,","1G cc tearb lished. fav Huw Ev ou, Propr.,"
m04-012-02,watched it go from the windows of the,"Be fon id 46 fr ow th, ee of Hy"
m04-012-03,"Dinas Motor Omnibus Co. Very interested ,","nas Mota, COnnshis (0, Viv y i dras Aol,"
