line_id,reference,hypothesis
m02-072-03,"country lawyer , and we were very small 4microdebs , weren't we ,","country lawyer , and we were very small ( microdebs , when time ,"
m02-072-04,"Sally "" - here she had dropped her voice in homage to the","Sally "" there she had dropped her voice in homage to the"
m02-072-05,"economic system : that was reverenced - "" when he thought","economic system : that was revered - "" when he thought"
m02-072-06,we might get GO a bit better if he entered politics .,we might get GO a bit better if he entered politics .
m02-075-00,Know how he did it ? He 's clever on,Know how he did it ? He's clever on
m02-075-01,the mouth-organ . So when he visited some,the mouth-organ . So when he visited some
m02-075-02,craterlet on Face ( ours is an agricultural,craterlet on Face ( ours is an agricultural
m02-075-04,as soon as he had spoken a few,as soon as he had spoken a few
m02-075-05,sentences of his speech : ' Cut the,sentences of his speech : ' Cut the
m02-075-06,"politics , Lester , give us something on","politics , Lester , give us something on"
m02-106-00,But since starting salaries would depend on grade A,But since starting salaries would depend on grade A
m02-106-01,"or B in the finals next May , and since mating","or B in the finals next May , and since mating"
m02-106-02,"prospects would depend upon salaries , scholarship for","prospects would depend upon salaries , scholarship for"
m02-106-03,these fine young people was closely geared to,these fine young people was closely geared to
m02-106-05,"were really means . So , seeing them revolve in","were really means . So , seeing them revolves in"
m02-106-07,"Moke consciously or unconsciously symbolised , any-","Moke consciously or unconsciously symbolised , any-"
m02-106-08,way in Harry's mind ) had these splendid young,way in Harry's mind ) had these splendid young
m02-106-09,"people by the short hairs , and was diverting them ...","people by the short hairs , and was diverting them ... ."
m02-080-02,we came through to 4makrodeb status and,we came through to 4makrodelo status and
m02-080-03,"got all these lovely things "" - she waved a",got all these lovely things ' - she moved a
m02-080-04,"plump hand towards her grand pianos , etc :","plump hand towards her grand pianos , etc :"
m02-080-05,"at the same time a door banged - "" but don't","at the same time a door banged - "" but don't"
m02-080-06,"say a word about it , Lester wants his","say a word about it , Lester wants his"
m02-080-07,mouth-organ to be forgotten now . The time,mouth-organ to be forgotten now . The time
m02-080-08,has come for him to be taken seriously,has come for him to be taken seriously
m02-083-00,"Peron entered , a large man , who had once been","Peron entered , a large man , who had once been"
m02-083-01,"handsome but was now seedy-looking , a sufferer","handsome but was now seedy-looking , a sufferer"
m02-083-02,from stomach-ulcers . In the Back-Face tradition he,from stomach-ulcers . In the Back-Face tradition he
m02-083-03,"wore , and kept on indoors , a fifty gallon hat . Harry was","wore , and kept on indoors , a fifty gallon hat . Harry was"
m02-083-04,"prepared for something unpleasant , for this was","prepared for something unpleasant , for this was"
m02-083-05,the Senator who had annoyed the United States,the Senator who had annoyed the United States
m02-083-06,by bragging how he had once won a trick from,by bragging how he had once won a trick from
m02-083-07,W.C.U. by threatening to loose off one of his,W.C.U. by threatening to loose off one of his
m02-083-08,rockets ( an admission which would scarcely help,rockets ( an admission which would scarcely help
m02-083-09,"bluff to succeed the next time ) and , lately , by","bluff to succeed the next time ) and , lately , by"
m02-087-00,But privately he turned out to be as friendly as,But privately he turned out to be as friendly as
m02-087-01,"Mr. Wise the tube manufacturer , to have the same adolescent","Mr. Wise the tube manufacturer , to have the same adolescent"
m02-087-02,"openness and freshness , though perhaps not the same","openness and freshness , though perhaps not the same"
m02-087-03,maturity . One remembered that he was a lawyer,maternity . One remembered that he was a lawyer
m02-087-04,"by training , and suspected that the points he made","by training , and suspected that the points he made"
m02-087-05,so sharply in international politics were as abstract,so sharply in international politics were as abstract
m02-087-06,to him as those a lawyer makes in a court,to him as those a lawyer makes in a court
m02-090-00,"The motive would be the same in both cases , to","The motive would be the same in both cases , to"
m02-090-01,"serve this home of his , in which his heart lay .","serve this home of his , in which his heart lay"
m02-090-02,Here the rocket man's charm was disarming . Yet,Here the rocket man's charm was disarming . Yet
m02-090-03,"when the time came to leave , Harry felt as de-","when the time came to leave , Harry felt as de-"
m02-090-04,"pressed as when he left Mrs. Halliday's office ,","pressed as when he left Mrs. Halliday's office ,"
m02-090-05,exactly a month ago . If even Mo statesmen only,exactly a month ago . If even it's statesmen only
m02-090-06,did what they had to do to get GO on an expan-,did what they had to do to get GO on an expan-
m02-090-07,"ding scale , and left the sum-total of their actions ,","ding scale , and left the sum-total of their actions ,"
m02-090-08,"and their lunar and earthly repercussions , to luck","and their lunar and earthly repercussions , to luck"
m02-095-00,The political life of Aristotle looked more and more,The political life of Aristotle looked more and more
m02-095-01,like a masquerade of business interests in dis-,like a Masquerade of Business interests in his-
m02-095-02,"guise which , far from attracting the allegiance","quise which , far from attracting the allegiance"
m02-095-03,"of free men everywhere , could only repel them .","of free men everywhere , could only repel them ."
m02-095-04,Then what of the cultural life ? Did this per-,Then what of the cultural life ? Did this per-
m02-095-05,haps nurture a genuinely civilizing impulse,haps nurture a genuinely civilizing impulse
m02-095-06,which might in time become social fact,which might in time become social fact
m02-095-07,and counteract the obsession with economics,and counteract the obsession with economics
m02-095-08,which had grown up during the Moon's,which had grown up during the Monn's
m02-102-00,At the centre of each circle stood personnel,At the centre of each circle stood personnel
m02-102-02,and their filing clerks . The students had,and their filing clerks . They students had
m02-102-04,were now being bought forward in their,were now being bought forward in their
m02-102-05,turn . By comparing personal appearances,turn . By comparing personal appearances
m02-102-06,"with university records , the agents of the","with university records , the agents of the"
m02-102-08,"and women who interested them , and contracts","and women who interested them , and contracts"
m02-102-09,would be initialled at the end of,would be in its likelihood at the end of
m02-109-01,"to be diverted , however , with the single exception of one","to be divestant , however , with the single exception of over"
m02-109-03,step . He looked as if nothing Moke and his,step . He lateral as if nothing more and his
m02-109-06,neurosis and not in some eruption from those,nearosis and not in some eruption from those
m02-112-00,"So once again the metaphysics were depressing ,","So once again the metaphysics were depressing ,"
m02-112-01,and in absolute contrast to the physical display .,and in absolute contrast to the physical display
m02-112-02,"Mos have an un-American love of parades , and","Most have an un-American love of parades , and"
m02-112-03,"these young ones , on parade for jobs which they","these young ones , on parade for jobs which they"
m02-112-05,putting their best foot forward .,putting their best foot forward .
m03-006-02,edge ... did you notice ? And the mules,"edge ... , did you notice ? And the number"
m03-006-03,didn't seem to want to get off the raft . ',"didn't seem to want to get off the raft . """
m03-006-04,He peered as it were into the dark secrets,He peered as it were into the dark secrets
m03-006-07,"night , exceptionally brilliant and strange ,","night , exceptionally brilliant and strange ,"
m03-006-08,"for in the proximity of the mountains ,","for in the proximity of the mountains ,"
m03-006-09,"whose presence I could almost smell ,","whose presence I could almost smell ,"
m03-013-01,on the cosmic handiwork . ' All those stars . But I 'm,on the cosmic handiwork . ' All those stars . But I'm
m03-013-02,"a bit earthbound tonight , Trout . I 've got a queer","a bit earthboard tonight , Trout . I've got a queer"
m03-013-03,"feeling , like I always get when something","feeling , like I always get when something"
m03-013-05,"if you ask me . Might be jaguar , might be ...","if you ask me . Might be jaguar , might be ... ."
m03-020-00,"Hope I die kind of composed , Trout . I mean you can't","Hope I did kind of composed , Trout . I mean you can't"
m03-020-01,"imagine the Christian martyrs twisting and shrieking ,",imagine the Christian martyrs twisting and shrieking
m03-020-03,"lion munching , or arrows where it hurts most . Or","lion mucking , or arrows where it hurts most . or"
m03-020-04,can you . Look over there . ' He pointed to the,"can you , Look over there . ' He pointed to the"
m03-020-05,shadows beyond the river . ' Something moved . ',shadows beyond the river . ' Something moved . '
m03-033-01,may have thought I had become unbalanced,may have thought I had become unbalanced
m03-033-02,through fear . ' A character Mr Gilberto mentioned,through fear . ' A character Mr Giillberto mentioned
m03-033-04,the forest Indians are said to be mortally,they forest Indians are said to be mortally
m03-033-05,"afraid , with a hoof shaped like the heel","afraid , with a proof shaped like the heel"
m03-033-06,of a bottle . If your lordship will excuse me,of a bottle . If your hardship will excuse me
m03-062-00,"Small , repulsive creatures they were ,","Small , repulsive creatures they were ,"
m03-062-02,resemblance to the shrunk heads we had,resemblance to the shrunk heads we had
m03-062-03,gazed at recently ; and I have no,gazed at recently ; and I have no
m03-062-04,hesitation in saying that they would have,hesitation in saying that they would have
m03-062-05,made an end of us but for an intervention,made an end of us but for an intervention
m03-062-06,"so unexpected , so unusual , that only the","so unexpected , so unusual , that only the"
m03-062-07,necessity of rounding my narrative,necessity of rounding my narrative
m03-062-08,compels me to mention it .,campsets me to mention it .
m03-095-00,I had a distinct impression that the,I had a distinct impression that the
m03-095-01,hut had recently been cleaned and,hut had recently been cleaned and
m03-095-02,prepared for visitors . Mrs Caine said,prepared for visitors . Mrs Caine said
m03-095-03,we were to go no further unless and,we were to go no further unless and
m03-095-04,"until we were sent for , confirming","until we were sent for , confirming"
m03-095-05,another impression that became more,another impression that became more
m03-095-06,"and more definite , namely , that","and more definite , namely , that"
m03-095-07,she was in touch with an invi-,she was in touch with an invi-
m03-095-08,sible source of authority .,sible source of authority .
m03-110-00,"Sally and of course Mrs Septimus , for surely","Sally and of course Mrs Septimus , for surely"
m03-110-01,Mr Septimus stood in the same case as,Mr Septimus stood in the same case as
m03-110-02,myself ? But was it so ? I allowed myself,myself ? But was it so ? I allowed myself
m03-110-03,"to entertain for an instant the idea , the","to entertain for an instant the idea , the"
m03-110-06,would be inopportune ; and with the idea came,would be inapparture ; and will the idea came
m03-110-08,"to watch Mr Septimus more closely , Mrs","to watch Mr Septimus more closely , Mrs"
m03-110-09,Caine too and Mr Gilberto who would ...,Caine too and Mr Gilbert who would ... .
m03-114-00,But all three were to the casual,But all three were to the casual
m03-114-01,observation I permitted myself unruffled ;,"observation I permitted myself unruffled ,"
m03-114-02,Mr Septimus reserved and certainly very,Mr Septimus reserved and certainly very
m03-114-03,"thoughtful , but that was his habit . Indeed","thoughtful , but that was his habit . Indeed"
m03-114-04,we were all invaded by a most tranquil,we were all invaded by a most tranquil
m03-114-05,"mood . Even the Indian servants relaxed , knowing ,","wood . Even the Indian servants released , knowing ,"
m03-114-06,"so Mr Gilberto told us , that the wild and","so Mr Gilbert's told us , that the wild and"
m03-114-07,savage tribes never approached this region : at,savage tribes never approached this region : at
m03-114-08,"any rate they remained with us , perhaps","any rate they remained with us , perhaps"
m03-114-09,"for such protection as our presence , or Mrs","for such protection as our presence , or Mrs"
m03-118-00,But after what Mrs Caine had said it was never,Bent after what Mrs Caine had opened it was never
m03-118-01,far from our minds that at any moment we were,far from our minds that at any moment we were
m03-118-02,to receive a summons . I could see that Mr Septimus,"to receive a summons . "" I could see that Mr. Septimny"
m03-118-03,"was impatient for it . This afternoon , then , we climbed","was impatient for it . This afternoon , then , we convinced"
m03-118-04,"a promontory , a mass of clean rock crowned with","a promontory , a mass of clean rock crowned with"
m03-118-05,"trees and bushes , that stood well out over the lake .","trees and bushes , that stood well out over the lake ."
m04-000-00,NO ONE has ever satisfactorily explained how a,NO ONE has ever satisfactorily explained how a
m04-000-03,"too carefree , and becoming airborne ?","too carefree , and becoming airborne ?"
m04-000-04,Caught by a sudden gust of wind ? A,Caught by a sudden gust of wind ? A
m04-000-05,combination of the two ? No one seems,combination of the two ? No one seems
m04-000-06,to know . But the fact remains that get,to know . But the fact remains that get
m04-000-07,itself into orbit it did .,itself into orbit it did .
m04-007-00,"And a fine old fuss there was about it , too .","And a fine old fuss there was about it , too ,"
m04-007-02,"the bus , the 2.20 from Dinas to Llangrwl ,","the bus , the 2.20 from Dinas to Llangrwl ,"
m04-007-04,"Aboard , apart from the crew , were Mrs. Megan","Aboard , apart from the crew , were Mrs. Megan"
m04-007-05,Thomas and her five-year-old son Cadwallader ;,"Thomas and her five-year-old son Cadwallader ,"
m04-007-06,pretty little Morfydd Owen ; Mr. Stanley Hayball,pretty little Morfydd Owen ; Mr. Stanley Hayball
m04-007-08,Birmingham ; Price the Provisions ; and the,Birmingham ; Price the Provisions ; and the
m04-012-00,"Yes , the bus set out from Dinas . So much","Yes , the bus set out from Dinas . So much"
m04-012-01,"is established . Ifor Huw Evans , Propr. ,","is established . Ifor Huw Evans , Progn. ,"
m04-012-02,watched it go from the windows of the,watched it go from the windows of the
m04-012-03,"Dinas Motor Omnibus Co. Very interested ,","Dinas Motor Omnibus Co. Very interested ,"
m04-012-04,"Ifor was . For there was his garage hand ,","Ifor was . For there was his garage hand ,"
m04-012-05,"Dai Pugh , taking a tearful farewell of","Dai Pugh , taking a tearful farewell of"
m04-012-06,"Morfydd Owen . Morfydd , who had until","Morfydd Owen . Morfydd , who had until"
m04-012-07,"recently been Ifor's typist , but was now","recently been Ifor's typist , but was now"
m04-012-08,returning to her home town as a,returning to her home town as a
m04-012-09,fully-fledged schoolteacher .,fully-fledged schoolteacher .
m04-019-00,""" But I 'm only going fifteen miles away , """,""" But I'm only going fifteen miles away , """
m04-019-01,"Morfydd was saying . "" Not the end of","Morfydd was saying . "" Not the end of"
m04-019-02,"the world , is it ? "" "" For me it is , "" Dai","the world , is it ? "" "" For me it is , "" Dai"
m04-019-03,"said wretchedly , wiping his hands on his","said wretchedly , wiping his hands on his"
m04-019-04,"overalls preparatory to a last embrace . "" You","overalls preparatory to a last embrace . "" You"
m04-019-05,will not be remembering a mere garage,will not be unsembering a mere garage
m04-019-06,hand when you are lording it over,hand when you are lording it over
m04-019-07,"the Mixed Infants of Llangrwl . ""","the Mixed Infants of Llangrwl . """
m04-024-00,""" Silly boy , "" said Morfydd . Though she",""" Eilly boy , "" said Morfydd . Though she"
m04-024-01,"could not help wondering whether , now she","could not help wondering whether , now she"
m04-024-02,"had qualified as a schoolteacher , poor","had qualified as a school teacher , poor"
m04-024-03,little Dai was quite the man for her .,little Dai was quite the man for her .
m04-024-04,A nice boy of course . But perhaps in the,A nice boy of course . But perhaps in the
m04-024-05,new world she was entering there might,new world she was entering there might
m04-024-06,"be boys equally nice , and with far more","be boys equally nice , and with four more"
m04-024-07,to offer . The conductor rang his bell .,to offer . The conductor rang his bell .
m04-030-00,""" Good-bye , Dai , "" said Morfydd , smiling from the bottom step .",""" good-bye , win . "" said Holyph , smiling from the bottom step ."
m04-030-02,"She was already up the bus steps , and the bus was away . And Morfydd Owen","She was already run there has stops , and there was away . And the eighth ones"
m04-030-03,"waving , unkissed , from the window . And Dai , on the pavement , knowing in his","warving , unbiased , from the minders , but their , on the pavement , honouring in"
m04-030-04,heart that Morfydd was leaving him as surely as she was leaving Dinas .,heart that Malefah was becoming their as surely as she was leaving America .
m04-038-00,"So the bus set out for Llangrwl . But it never reached there ! Somewhere ,","in the bus not out for Shangirah . But it never reached there ! Somewhere ,"
m04-038-01,"on those fifteen miles of mountain roads , it disappeared from the earthly","on those fifteen miles of mountain roads , it disappeared from the earthly"
m04-038-02,scene . The first intimation that all was not well came when a,vere . The first intervention that she was not well more when a
m04-038-03,"Mr. Isaiah Roberts , landlord of The Traveller's Joy , rang up the","Mr. Branch Roberts , handbook of Sir. Traveller's boy , sang up the"
m04-038-04,Dinas Motor Omnibus Co. to ask what had happened to their,"Dennis Hunter Dravides , her , Her wish that had happened for Edeni"
m04-043-03,"reasonably . "" Start running punctual and where are you ? People get","earonally . "" That running menstrual and close are you ? People get"
m04-061-00,""" And what are you going to do about it ? "" Tendentious , Mr. Roberts sounded .",""" And that we you going to do about it ! "" Sendenstein , Mr. Roberts sounded"
m04-061-04,and scour the countryside between here and The Traveller's Joy .,and never the countryside between here with the Traveller's joy
m04-072-00,The two-twenty to Llangrwl has failed to,The two-twenty to Llangrwl has failed to
m04-072-01,"complete her mission . "" Paled , did Dai . For the","complete her mission . "" Pulled , did Dai . For the"
m04-072-02,"two-twenty carried , for him , a cargo more","two-twent , carried , for him , a cargo more"
m04-072-03,precious than jewels . Though Mofydd Owen,precious than jewels . Though Mafydd Owen
m04-072-04,"was , as he feared , departed out of his life ,","was , as he feared , departed out of his life ,"
m04-072-05,"he still loved her dearly . Already , even","he still loved her dearly . Already , even"
m04-072-06,as with trembling fingers he fastened his,as with trembling fingers he fastened his
m04-072-07,"trouser clips , he was seeing her lying in","transer clips , he was seeing her lying in"
m04-072-08,"some dreadful ravine , or beset by","some dreadful ravine , or beset by"
m04-072-09,"robbers , or being whisked off to Emergency","robbers , or being whisked off to Emergency"
m04-078-00,"But even his imagination , luckily for him ,","But even his imagination , luckily for him ,"
m04-078-01,did not visualise the awful truth - that,did not visualise the awful truth - that
m04-078-02,Morfyyd Owen was already qualifying for,"Morfy , and Owen was already qualifying for"
m04-078-05,Cadwallader when his child mind grasped,Cadwallader when his child mind grasped
m04-078-06,the fact that the green earth was falling,the fact that the green earth was failing
m04-078-07,away at a rate of knots .,away at a rate of kinds .
m04-081-00,Where indeed ? Megan Thomas spoke sharply,Where indeed ? Megan Thomas spoke sharply
